,profit-arbitrageur,profit-normal,simulation,average loss,n,V
0,"[4031, 0, 208760.45225242572]","[971, -6158.6924203789295, 643.5758908159017]",rebalancing_target_ratios,-5.6798316473357655,59,18910234.126541577
0,"[4359, 0, 503918.89330175833]","[643, -3718.028680911611, 471.5381008747732]",equal_target_ratios,-5.048974463509857,59,25325199.15114484
